(C:\Users\Rajdeep Kumar\movie-recsys\recsys-env) C:\Users\Rajdeep Kumar\movie-recsys>python src\train_BSSRec.py
🚀 Training on device: cuda
GPU Name: NVIDIA GeForce RTX 5060 Laptop GPU
Loading dataset into memory...
Total training batches per epoch: 538
Epoch [6/100] | Batch [500/538] | Loss: 0.0519
✅ Epoch 6 Complete | Avg Loss: 0.0606 | Time: 39.31 sec
Epoch [7/100] | Batch [100/538] | Loss: 0.0480
Epoch [7/100] | Batch [200/538] | Loss: 0.0493
Epoch [7/100] | Batch [300/538] | Loss: 0.0551
Epoch [7/100] | Batch [400/538] | Loss: 0.0458
Epoch [7/100] | Batch [500/538] | Loss: 0.0413
✅ Epoch 7 Complete | Avg Loss: 0.0478 | Time: 17.90 sec
Epoch [8/100] | Batch [100/538] | Loss: 0.0409
Epoch [8/100] | Batch [200/538] | Loss: 0.0423
Epoch [8/100] | Batch [300/538] | Loss: 0.0460
Epoch [8/100] | Batch [400/538] | Loss: 0.0367
Epoch [8/100] | Batch [500/538] | Loss: 0.0336
✅ Epoch 8 Complete | Avg Loss: 0.0403 | Time: 14.75 sec
Epoch [9/100] | Batch [100/538] | Loss: 0.0384
Epoch [9/100] | Batch [200/538] | Loss: 0.0358
Epoch [9/100] | Batch [300/538] | Loss: 0.0371
Epoch [9/100] | Batch [400/538] | Loss: 0.0322
Epoch [9/100] | Batch [500/538] | Loss: 0.0292
✅ Epoch 9 Complete | Avg Loss: 0.0352 | Time: 14.73 sec
Epoch [10/100] | Batch [100/538] | Loss: 0.0351
Epoch [10/100] | Batch [200/538] | Loss: 0.0332
Epoch [10/100] | Batch [300/538] | Loss: 0.0347
Epoch [10/100] | Batch [400/538] | Loss: 0.0309
Epoch [10/100] | Batch [500/538] | Loss: 0.0287
✅ Epoch 10 Complete | Avg Loss: 0.0321 | Time: 14.53 sec
Epoch [11/100] | Batch [100/538] | Loss: 0.0271
Epoch [11/100] | Batch [200/538] | Loss: 0.0287
Epoch [11/100] | Batch [300/538] | Loss: 0.0286
Epoch [11/100] | Batch [400/538] | Loss: 0.0253
Epoch [11/100] | Batch [500/538] | Loss: 0.0235
✅ Epoch 11 Complete | Avg Loss: 0.0294 | Time: 14.88 sec
Epoch [12/100] | Batch [100/538] | Loss: 0.0305
Epoch [12/100] | Batch [200/538] | Loss: 0.0230
Epoch [12/100] | Batch [300/538] | Loss: 0.0302
Epoch [12/100] | Batch [400/538] | Loss: 0.0307
Epoch [12/100] | Batch [500/538] | Loss: 0.0239
✅ Epoch 12 Complete | Avg Loss: 0.0275 | Time: 14.53 sec
Epoch [13/100] | Batch [100/538] | Loss: 0.0265
Epoch [13/100] | Batch [200/538] | Loss: 0.0246
Epoch [13/100] | Batch [300/538] | Loss: 0.0219
Epoch [13/100] | Batch [400/538] | Loss: 0.0262
Epoch [13/100] | Batch [500/538] | Loss: 0.0279
✅ Epoch 13 Complete | Avg Loss: 0.0258 | Time: 14.79 sec
Epoch [14/100] | Batch [100/538] | Loss: 0.0258
Epoch [14/100] | Batch [200/538] | Loss: 0.0251
Epoch [14/100] | Batch [300/538] | Loss: 0.0259
Epoch [14/100] | Batch [400/538] | Loss: 0.0245
Epoch [14/100] | Batch [500/538] | Loss: 0.0229
✅ Epoch 14 Complete | Avg Loss: 0.0247 | Time: 14.95 sec
Epoch [15/100] | Batch [100/538] | Loss: 0.0256
Epoch [15/100] | Batch [200/538] | Loss: 0.0257
Epoch [15/100] | Batch [300/538] | Loss: 0.0294
Epoch [15/100] | Batch [400/538] | Loss: 0.0243
Epoch [15/100] | Batch [500/538] | Loss: 0.0204
✅ Epoch 15 Complete | Avg Loss: 0.0236 | Time: 14.64 sec
Epoch [16/100] | Batch [100/538] | Loss: 0.0291
Epoch [16/100] | Batch [200/538] | Loss: 0.0220
Epoch [16/100] | Batch [300/538] | Loss: 0.0221
Epoch [16/100] | Batch [400/538] | Loss: 0.0235
Epoch [16/100] | Batch [500/538] | Loss: 0.0227
✅ Epoch 16 Complete | Avg Loss: 0.0225 | Time: 14.67 sec
Epoch [17/100] | Batch [100/538] | Loss: 0.0217
Epoch [17/100] | Batch [200/538] | Loss: 0.0215
Epoch [17/100] | Batch [300/538] | Loss: 0.0184
Epoch [17/100] | Batch [400/538] | Loss: 0.0215
Epoch [17/100] | Batch [500/538] | Loss: 0.0208
✅ Epoch 17 Complete | Avg Loss: 0.0219 | Time: 15.56 sec
Epoch [18/100] | Batch [100/538] | Loss: 0.0215
Epoch [18/100] | Batch [200/538] | Loss: 0.0191
Epoch [18/100] | Batch [300/538] | Loss: 0.0248
Epoch [18/100] | Batch [400/538] | Loss: 0.0204
Epoch [18/100] | Batch [500/538] | Loss: 0.0176
✅ Epoch 18 Complete | Avg Loss: 0.0211 | Time: 14.72 sec
Epoch [19/100] | Batch [100/538] | Loss: 0.0225
Epoch [19/100] | Batch [200/538] | Loss: 0.0245
Epoch [19/100] | Batch [300/538] | Loss: 0.0243
Epoch [19/100] | Batch [400/538] | Loss: 0.0205
Epoch [19/100] | Batch [500/538] | Loss: 0.0190
✅ Epoch 19 Complete | Avg Loss: 0.0204 | Time: 14.50 sec
Epoch [20/100] | Batch [100/538] | Loss: 0.0237
Epoch [20/100] | Batch [200/538] | Loss: 0.0157
Epoch [20/100] | Batch [300/538] | Loss: 0.0198
Epoch [20/100] | Batch [400/538] | Loss: 0.0168
Epoch [20/100] | Batch [500/538] | Loss: 0.0179
✅ Epoch 20 Complete | Avg Loss: 0.0198 | Time: 14.57 sec
Epoch [21/100] | Batch [100/538] | Loss: 0.0214
Epoch [21/100] | Batch [200/538] | Loss: 0.0201
Epoch [21/100] | Batch [300/538] | Loss: 0.0194
Epoch [21/100] | Batch [400/538] | Loss: 0.0150
Epoch [21/100] | Batch [500/538] | Loss: 0.0188
✅ Epoch 21 Complete | Avg Loss: 0.0192 | Time: 14.75 sec
Epoch [22/100] | Batch [100/538] | Loss: 0.0195
Epoch [22/100] | Batch [200/538] | Loss: 0.0187
Epoch [22/100] | Batch [300/538] | Loss: 0.0199
Epoch [22/100] | Batch [400/538] | Loss: 0.0191
Epoch [22/100] | Batch [500/538] | Loss: 0.0183
✅ Epoch 22 Complete | Avg Loss: 0.0188 | Time: 14.64 sec
Epoch [23/100] | Batch [100/538] | Loss: 0.0143
Epoch [23/100] | Batch [200/538] | Loss: 0.0180
Epoch [23/100] | Batch [300/538] | Loss: 0.0166
Epoch [23/100] | Batch [400/538] | Loss: 0.0167
Epoch [23/100] | Batch [500/538] | Loss: 0.0170
✅ Epoch 23 Complete | Avg Loss: 0.0182 | Time: 14.89 sec
Epoch [24/100] | Batch [100/538] | Loss: 0.0187
Epoch [24/100] | Batch [200/538] | Loss: 0.0191
Epoch [24/100] | Batch [300/538] | Loss: 0.0182
Epoch [24/100] | Batch [400/538] | Loss: 0.0163
Epoch [24/100] | Batch [500/538] | Loss: 0.0186
✅ Epoch 24 Complete | Avg Loss: 0.0178 | Time: 15.01 sec
Epoch [25/100] | Batch [100/538] | Loss: 0.0194
Epoch [25/100] | Batch [200/538] | Loss: 0.0190
Epoch [25/100] | Batch [300/538] | Loss: 0.0187
Epoch [25/100] | Batch [400/538] | Loss: 0.0194
Epoch [25/100] | Batch [500/538] | Loss: 0.0121
✅ Epoch 25 Complete | Avg Loss: 0.0174 | Time: 21.61 sec
Epoch [26/100] | Batch [100/538] | Loss: 0.0162
Epoch [26/100] | Batch [200/538] | Loss: 0.0153
Epoch [26/100] | Batch [300/538] | Loss: 0.0183
Epoch [26/100] | Batch [400/538] | Loss: 0.0131
Epoch [26/100] | Batch [500/538] | Loss: 0.0190
✅ Epoch 26 Complete | Avg Loss: 0.0168 | Time: 14.48 sec
Epoch [27/100] | Batch [100/538] | Loss: 0.0155
Epoch [27/100] | Batch [200/538] | Loss: 0.0171
Epoch [27/100] | Batch [300/538] | Loss: 0.0144
Epoch [27/100] | Batch [400/538] | Loss: 0.0160
Epoch [27/100] | Batch [500/538] | Loss: 0.0148
✅ Epoch 27 Complete | Avg Loss: 0.0164 | Time: 14.52 sec
Epoch [28/100] | Batch [100/538] | Loss: 0.0183
Epoch [28/100] | Batch [200/538] | Loss: 0.0120
Epoch [28/100] | Batch [300/538] | Loss: 0.0151
Epoch [28/100] | Batch [400/538] | Loss: 0.0168
Epoch [28/100] | Batch [500/538] | Loss: 0.0177
✅ Epoch 28 Complete | Avg Loss: 0.0159 | Time: 15.13 sec
Epoch [29/100] | Batch [100/538] | Loss: 0.0168
Epoch [29/100] | Batch [200/538] | Loss: 0.0150
Epoch [29/100] | Batch [300/538] | Loss: 0.0130
Epoch [29/100] | Batch [400/538] | Loss: 0.0156
Epoch [29/100] | Batch [500/538] | Loss: 0.0168
✅ Epoch 29 Complete | Avg Loss: 0.0156 | Time: 14.62 sec
Epoch [30/100] | Batch [100/538] | Loss: 0.0140
Epoch [30/100] | Batch [200/538] | Loss: 0.0139
Epoch [30/100] | Batch [300/538] | Loss: 0.0163
Epoch [30/100] | Batch [400/538] | Loss: 0.0135
Epoch [30/100] | Batch [500/538] | Loss: 0.0133
