(C:\Users\Rajdeep Kumar\movie-recsys\recsys-env) C:\Users\Rajdeep Kumar\movie-recsys>python src\models\build_tag_w2v.py
🚀 Loading Mappings and Metadata...
🧠 Preparing Corpus for Word2Vec...
🏋️‍♂️ Training Word2Vec Model (128 Dimensions)...
💉 Mapping Word2Vec representations to SASRec Token IDs...
✅ Pre-trained vectors mapped for 22884 out of 22884 items.
💾 Word2Vec Matrix saved to data/processed\w2v_embeddings.npy

(C:\Users\Rajdeep Kumar\movie-recsys\recsys-env) C:\Users\Rajdeep Kumar\movie-recsys>python src\train_w2v.py
🚀 Training Word2Vec-Hybrid SASRec on: cuda
🚀 INJECTION: Loading pre-trained Word2Vec embeddings into SASRec!
Epoch [30/100] | Batch [250/538] | Loss: 0.2205
Epoch [30/100] | Batch [500/538] | Loss: 0.2123
✅ Epoch 30 Complete | Avg Loss: 0. | Time: 14.44 sec
Epoch [31/100] | Batch [250/538] | Loss: 0.2180
Epoch [31/100] | Batch [500/538] | Loss: 0.2108
✅ Epoch 31 Complete | Avg Loss: 0.2229 | Time: 14.16 sec
Epoch [32/100] | Batch [250/538] | Loss: 0.2231
Epoch [32/100] | Batch [500/538] | Loss: 0.2083
✅ Epoch 32 Complete | Avg Loss: 0.2223 | Time: 14.23 sec
Epoch [33/100] | Batch [250/538] | Loss: 0.2078
Epoch [33/100] | Batch [500/538] | Loss: 0.2232
✅ Epoch 33 Complete | Avg Loss: 0.2223 | Time: 14.11 sec
Epoch [34/100] | Batch [250/538] | Loss: 0.2182
Epoch [34/100] | Batch [500/538] | Loss: 0.2302
✅ Epoch 34 Complete | Avg Loss: 0.2212 | Time: 14.31 sec
Epoch [35/100] | Batch [250/538] | Loss: 0.2275
Epoch [35/100] | Batch [500/538] | Loss: 0.2332
✅ Epoch 35 Complete | Avg Loss: 0.2206 | Time: 14.11 sec
Epoch [36/100] | Batch [250/538] | Loss: 0.2220
Epoch [36/100] | Batch [500/538] | Loss: 0.2213
✅ Epoch 36 Complete | Avg Loss: 0.2204 | Time: 14.37 sec
Epoch [37/100] | Batch [250/538] | Loss: 0.2146
Epoch [37/100] | Batch [500/538] | Loss: 0.2226
✅ Epoch 37 Complete | Avg Loss: 0.2194 | Time: 14.15 sec
Epoch [38/100] | Batch [250/538] | Loss: 0.2015
Epoch [38/100] | Batch [500/538] | Loss: 0.2151
✅ Epoch 38 Complete | Avg Loss: 0.2183 | Time: 14.16 sec
Epoch [39/100] | Batch [250/538] | Loss: 0.2146
Epoch [39/100] | Batch [500/538] | Loss: 0.2178
✅ Epoch 39 Complete | Avg Loss: 0.2180 | Time: 14.18 sec
Epoch [40/100] | Batch [250/538] | Loss: 0.2234
Epoch [40/100] | Batch [500/538] | Loss: 0.2217
✅ Epoch 40 Complete | Avg Loss: 0.2174 | Time: 14.44 sec
Epoch [41/100] | Batch [250/538] | Loss: 0.2273
Epoch [41/100] | Batch [500/538] | Loss: 0.2157
✅ Epoch 41 Complete | Avg Loss: 0.2172 | Time: 14.14 sec
Epoch [42/100] | Batch [250/538] | Loss: 0.2209
Epoch [42/100] | Batch [500/538] | Loss: 0.2153
✅ Epoch 42 Complete | Avg Loss: 0.2162 | Time: 14.26 sec
Epoch [43/100] | Batch [250/538] | Loss: 0.2281
Epoch [43/100] | Batch [500/538] | Loss: 0.1994
✅ Epoch 43 Complete | Avg Loss: 0.2154 | Time: 14.25 sec
Epoch [44/100] | Batch [250/538] | Loss: 0.2171
Epoch [44/100] | Batch [500/538] | Loss: 0.2241
✅ Epoch 44 Complete | Avg Loss: 0.2154 | Time: 14.05 sec
Epoch [45/100] | Batch [250/538] | Loss: 0.2220
Epoch [45/100] | Batch [500/538] | Loss: 0.2167
✅ Epoch 45 Complete | Avg Loss: 0.2152 | Time: 14.30 sec
Epoch [46/100] | Batch [250/538] | Loss: 0.2098
Epoch [46/100] | Batch [500/538] | Loss: 0.2262
✅ Epoch 46 Complete | Avg Loss: 0.2145 | Time: 14.17 sec
Epoch [47/100] | Batch [250/538] | Loss: 0.2068
Epoch [47/100] | Batch [500/538] | Loss: 0.2246
✅ Epoch 47 Complete | Avg Loss: 0.2146 | Time: 14.29 sec
Epoch [48/100] | Batch [250/538] | Loss: 0.2143
Epoch [48/100] | Batch [500/538] | Loss: 0.2343
✅ Epoch 48 Complete | Avg Loss: 0.2136 | Time: 14.07 sec
Epoch [49/100] | Batch [250/538] | Loss: 0.2083
Epoch [49/100] | Batch [500/538] | Loss: 0.2306
✅ Epoch 49 Complete | Avg Loss: 0.2132 | Time: 13.98 sec
Epoch [50/100] | Batch [250/538] | Loss: 0.2214
Epoch [50/100] | Batch [500/538] | Loss: 0.2024
✅ Epoch 50 Complete | Avg Loss: 0.2129 | Time: 14.15 sec
Epoch [51/100] | Batch [250/538] | Loss: 0.2112
Epoch [51/100] | Batch [500/538] | Loss: 0.2127
✅ Epoch 51 Complete | Avg Loss: 0.2120 | Time: 14.20 sec
Epoch [52/100] | Batch [250/538] | Loss: 0.2119
Epoch [52/100] | Batch [500/538] | Loss: 0.2106
✅ Epoch 52 Complete | Avg Loss: 0.2118 | Time: 12.45 sec
Epoch [53/100] | Batch [250/538] | Loss: 0.2026
Epoch [53/100] | Batch [500/538] | Loss: 0.2093
✅ Epoch 53 Complete | Avg Loss: 0.2121 | Time: 14.09 sec
Epoch [54/100] | Batch [250/538] | Loss: 0.2127
Epoch [54/100] | Batch [500/538] | Loss: 0.2096
